Question,Answer,Type
Write a short account on human embryonic membranes,"A Short Account on Human Embryonic Membranes
Human embryonic membranes, also known as extra-embryonic membranes, play a critical role in supporting the developing embryo and fetus after implantation. These membranes serve various functions essential for embryonic growth and development, providing a protective environment and contributing to physiological processes.

Chorion is one of the primary embryonic membranes and forms the main portion of the placenta. It plays a crucial role in establishing the connection between the mother and the developing embryo. The chorion produces human chorionic gonadotropin (hCG), a hormone that helps maintain the corpus luteum and supports early pregnancy. Additionally, the chorion acts as a barrier, protecting the embryo or fetus from the mother’s immune responses, ensuring that the developing organism is not attacked by maternal antibodies.

Another important membrane is the amnion, which surrounds the embryo and creates a fluid-filled cavity known as the amniotic sac. This cavity serves multiple functions: it acts as a shock absorber, protecting the embryo from physical trauma, and it prevents desiccation, ensuring that the developing tissues remain moist. The amniotic fluid also allows for fetal movements, which are essential for musculoskeletal development.

The yolk sac is another embryonic membrane that has specific roles during early development. It contributes to the formation of cells that will eventually become blood cells until the fetal liver takes over this function later in development. Additionally, the yolk sac is the source of primordial germ cells, which migrate to the developing gonads, ultimately contributing to the formation of the reproductive system.

Lastly, the allantois is a small, pouch-like structure that develops as an outgrowth of the yolk sac. Its primary functions include serving as an early site for blood formation and contributing to the development of the urinary bladder. The allantois plays a vital role in the transport of nutrients and waste products between the embryo and the mother.

In summary, the human embryonic membranes—chorion, amnion, yolk sac, and allantois—are essential components that facilitate the life-supporting system for the developing embryo and fetus. They provide protection, contribute to blood and germ cell formation, and ensure the proper development of various organ systems, demonstrating the complexity and interdependence of structures required for successful human development.",Essay
Introduce phototropism,shoot apex grow towards or away from light.,Structure
State the components which are found in plasma membrane of the animal cell?,"Phospholipids 
Protein 
Cholesterol ",Structure
Why the single circulation pump blood to the body cells in low pressure?,(Oxygen enriched) Blood is directly transported to the cells from respiratory organs,Structure
How bundle sheath cells are interconnected tightly with mesophyll cells in C4 plants?,By numerous plasmodesmata.,Structure
What is the type of placenta found in humans?,Deciduous alanto-chorion placenta,Structure
What are the important taxonomic criteria used in the present system of classification?,"the sequence of bases of DNA of important genes
 the sequence of bases of DNA of mitochondria and chloroplasts 
the sequence of bases of ribosomal RNA
the sequence of amino acids in common proteins
the molecular structure of cellular components.",Structure
Indicate the total number of ATP molecules form from oxidative phosphorylation.,28,Structure
Indicate the role of aldosterone in the distal convoluted tubule of the human nephron.,"Induce active reabsorption of Na + and 
passive reabsorption of water",Structure
What is benign tumor?,If the abnormal cells (the lump) remain at the original site,Structure
State two methods by which osmoregulation is achieved in the human body?,"Control the amount of water 
Control the intake / loosing salt amount ",Structure
Indicate the effect of photo period,controls flowering (in plants),Structure
Define oogenesis,"Development of single Mature egg from immature
eggs formed in the ovary of a developing female embryo",Structure
"What will be the number of plants that having only dominant character for one character, if 640 plants were obtained?",120,Structure
What is known by Hypertension ,Sustained elevated blood pressure above normal limits,Structure
Name the type of epithelium Lining of blood vessel lumen of human body.,simple squamous epithelium,Structure
Indicate one monosomy mutation which is viable.,Turner’s syndrome,Structure
write a short notes Patana grass lands,"Patana grasslands are unique ecological zones characterized by distinct climatic and geographical features, which result in two primary types: wet patana and dry patana. These grasslands are significant for their biodiversity and serve as vital habitats for various flora and fauna.

Wet patana grasslands are typically found in areas situated above 1500 meters above sea level. These regions experience a mean annual rainfall of over 2000 mm, creating a moist environment conducive to the growth of specific grasses. The temperature in wet patana areas ranges from 5 °C to 18 °C, and the climate is marked by mist, fog, and frost, without any defined dry period. The grasses in these regions tend to be relatively short, usually not exceeding 1 meter in height, and include species such as Chrysopogon nodulibarbis and Arundinella villosa. The biodiversity of wet patana grasslands supports various wildlife, including a notable wild boar population, a large sambar deer, and a few leopards. Extensive wet patana grasslands are primarily found in the Horton Plains, where the conditions for growth are optimal.

In contrast, dry patana grasslands are located at altitudes between 500 meters and 1500 meters. These areas receive an annual rainfall ranging from 1250 mm to 2000 mm and exhibit a higher temperature range of 18 °C to 24 °C. Unlike wet patana, dry patana grasslands experience a definite dry period, which influences the types of vegetation that thrive in these regions. In dry patana, the grasses can grow taller, reaching heights of 1 to 2 meters. The predominant grass species in these areas include Cymbopogon nardus and Themeda (or Themeda tremula), which are well-adapted to the drier conditions. Dry patana grasslands can be found on the hilltops of regions such as Hantana, Gampola, Welimada, and Haputale, as well as in the dry and intermediate zones of the country.

In summary, patana grasslands are vital ecosystems classified into wet and dry types based on altitude, rainfall, temperature, and vegetation characteristics. Wet patana, located at higher altitudes, is characterized by high rainfall and low temperatures, while dry patana, found at lower altitudes, experiences a significant dry period and higher temperatures. Both types of grasslands play essential roles in supporting diverse plant and animal life, contributing to the overall ecological balance of their respective regions.",Essay
Which compound can be used in both reduction reactions of Calvin cycle and regeneration of RuBP?,ATP,Structure
Indicate what happens to the inspiratory air in the nasal cavity.,"air is filtered (by hair) 
warmed
humidified",Structure
Name a biome which has each of the Having few epiphytes,Temperate broadleaf forest,Structure
Which are molecules act as oxidizing agent and electron carrier in cellular respiration?,"FAD 
NAD+",Structure
"Indicate the phase of eukaryotic cell cycle, for Chromosomal arms of sister chromatids attached by cohesion protein.",Prophase,Structure
Indicate why the third word is used in binomial nomenclature and give an example for such instance.,"Torepresent a sub species / variety  
Panthera pardus kotiya ",Structure
Name two groups of organisms responsible for “bloom” in aquatic habitats.,"cyanobacteria 
green algae",Structure
Give two factors that causes the galls on plants,Viruses/ fungi/ bacteria/ insects/ mites,Structure
In which phase of the human uterine cycle does implantation occur?,Secretory phase,Structure
What is the active site of an enzyme?,Place where the substrate binds to a specific of the enzyme,Structure
Give two examples for communicable diseases.,"Dengue
 AIDS",Structure
"ndicate the location of oxidative phosphorylation of aerobic respiration and total number of ATP produced during the oxidation of NADH and FADH, per one glucose molecule.","Oxidative phosphorylation, a critical part of aerobic respiration, takes place in the inner membrane or cristae of the mitochondria. During this process, NADH oxidation produces 25 ATP molecules, while FADH? oxidation yields 3 ATP molecules per one glucose molecule. These ATPs are generated through the electron transport chain and chemiosmosis, which harness the energy from electrons transferred by NADH and FADH?.",Structure
A polypeptide synthesis is happening in two steps. Name those two steps,"1. Transcription - Copying a sequence of DNA into mRNA 
2. Translation – Converting the information in mRNA to a sequence of amino acids",Structure
Name two capillary networks that are associated with the human nephron other than the glomerulus.,"Peritubular Capillaries 
Vasarecta ",Structure
Write in correct sequence of events that occur in the sugar source regarding pressure flow hypothesis.,"Loading of sugar into the sieve tube 
take up water from the xylem by osmosis 
generates a positive pressure ",Structure
Name the plant genus that Spores give rise to protonema:,Pogonatum,Structure
"If a person has been feeling chest tightness and breathing difficulty during exercise, what would be the disorder experienced?",Asthma,Structure
What is respiratory pigment?,organic compounds which can combine with oxygen where the partial pressure of oxygen is high and release oxygen where partial pressure of oxygen is low.,Structure
What is IVF?,"In vitro fertilization, removal of sperm from male oocyte from female and combining the oocyte and sperm to achive the fertilization under laboratory condition",Structure
"For a population under Hardy – Weinberg Equilibrium, 64% of the population showed dominant phenotype to a certain character. Find the percentage of heterozygotes in the population.",48% or 0.48,Structure
Which of the following / followings – solute potential/ water potential/ pressure potential can be determined in the experiment of using Tradescantia epidermal peel cells?,solute potential,Structure
"Which enzyme is added to a deoxyribonucleotide to a 3"" end of the primar ?",DNA polymerase,Structure
Name an animal group which possess the Haemocyanin respiratory pigments,hemolymph of arthropods & malluses,Structure
Indicate the animal phylum for Only longitudinal muscles found in the body wall ,Nematoda.,Structure
Define “balanced diet”.,The balanced diet contains the all essential nutrients required for health in the appropriate proportions,Structure
What is parthenogenesis in animals?,"An egg develops into a complete individual 
 without being fertilized ",Structure
"Indicate the criteria, that was used by Whittaker in the five-kingdom system of classification.","Cellular organization 
unicellular or multicellular 
mode of nutrition ",Structure
"Which compound in the above experiment, does not undergo chemical change although it contributes to the chemical reaction",The enzyme amylase,Structure
What is seed dormancy?,"Inhibition of embryo within the seed (at one stage of maturation) 
naturally prevents germination of seeds within fruit ",Structure
What is Biological Oxygen Demand?,"Amount of dissolved oxygen needed by aerobic microorganisms to breakdown organic 
(matter in) waste",Structure
What is the reason for that the cDNA can be used in prokaryota cell without the process of RNA?,They have no introns,Structure
What is Metastasis?,Spread of cancer cells to the location distant from their original site.,Structure
What are the major steps of Calvin cycle?,"Carbon fixation/ carboxylation (of CO:z acceptor/ RuBP) 
 Reduction (of 3PGA) e Regeneration of RuBP/ CO: acceptor",Structure
What is action spectrum? ,"  A graph showing the effectiveness of different wave lengths 
 in photosynthesis ",Structure
What is the origin of bony labyrinth of human inner ear?,Cavities / network of channels from temporal bone,Structure
Describe the basic plan of the human circulatory system and lymphatic system.,"The human circulatory and lymphatic systems are two interconnected systems that play essential roles in maintaining homeostasis, delivering nutrients and oxygen, and facilitating immune responses. Understanding the basic plan of these systems reveals their complexity and functionality in supporting life.

Basic Plan of the Human Circulatory System
The human heart, a muscular organ, consists of four chambers: two ventricles and two atria. This unique structure allows for the separation of oxygen-rich and oxygen-poor blood. The circulatory system operates on a dual circuit that functions simultaneously: the pulmonary circuit and the systemic circuit. Each of these circuits comprises a network of major arteries, smaller arteries, arterioles, capillary beds, venules, and major veins, ensuring efficient transport of blood throughout the body.

Pulmonary Circuit: The journey begins when the right ventricle pumps oxygen-poor blood into the lungs via the pulmonary arteries. Here, in the capillary beds of the lungs, gaseous exchange occurs. Oxygen is absorbed, and carbon dioxide is expelled through diffusion, enriching the blood with oxygen.

Transport to the Heart: The now oxygen-rich blood is transported back to the heart, specifically into the left atrium, through two pairs of pulmonary veins. Upon atrial contraction, this oxygen-rich blood is pushed into the left ventricle.

Systemic Circuit: During the contraction of the left ventricle, the oxygen-rich blood is forcefully pumped into the aorta, the main artery of the body. From the aorta, blood is distributed throughout the body. Initially, the aorta branches into coronary arteries, supplying blood to the heart muscles themselves. Following this, the aorta further branches out to deliver oxygen-rich blood to capillary beds in the head, arms, abdominal organs, and legs.

Return of Oxygen-Poor Blood: As oxygen and nutrients are delivered to the tissues, the blood becomes oxygen-poor. The capillaries rejoin to form venules, which channel the deoxygenated blood into veins. Oxygen-poor blood from the trunk and hind limbs is directed into the inferior vena cava, while blood from the trunk, head, neck, and forelimbs drains into the superior vena cava. Both the inferior and superior vena cava ultimately drain the deoxygenated blood into the right atrium, completing the circuit.

Basic Plan of the Human Lymphatic System
The human lymphatic system is closely connected with the circulatory system, both structurally and functionally. This system plays a crucial role in returning lost fluids and proteins back to the bloodstream and is integral to immune function.

Components of the Lymphatic System: The lymphatic system consists of lymph vessels, lymph nodes, lymphoid tissues, and various lymph organs, such as the spleen and thymus. The lymph vessels are divided into tiny and larger vessels, which transport lymph, a fluid that contains white blood cells, proteins, and other substances.

Function of Lymph Vessels: The primary function of the lymphatic system is to return interstitial fluid and proteins that leak from blood capillaries back to the blood. The lymph vessels contain valves that prevent the backflow of lymph, ensuring unidirectional flow toward the circulatory system.

Movement of Lymph: Lymph is drained into the veins at the base of the neck via two major ducts. The movement of lymph is facilitated by the rhythmic contraction of lymph vessels and the action of skeletal muscles during movement, which helps propel lymph throughout the body.

In summary, the human circulatory and lymphatic systems work in concert to maintain the body’s internal environment. The circulatory system ensures the efficient distribution of oxygen and nutrients while facilitating the removal of waste products. Simultaneously, the lymphatic system plays a crucial role in fluid balance, immune defense, and the return of lymph to the circulatory system. Together, these systems are vital for sustaining life and health.",Essay
What is the use of radula?,Scraping food,Structure
Briefly describe the mangrove ecosystem in Sri Lanka.,"The Mangrove Ecosystem in Sri Lanka
The mangrove ecosystem in Sri Lanka is a unique and vital component of the country’s coastal environment, characterized by diverse vegetation that flourishes in the fringes of lagoons and estuaries. These ecosystems are distinguished by their ability to thrive in saline or brackish waters, which creates a specialized habitat for a variety of flora and fauna.

Mangroves in Sri Lanka can be categorized into two primary types: true mangroves and mangrove associates. True mangroves are typically located at the boundary between the sea and land. A notable example of true mangroves is the Kadol or Kandal, which plays a crucial role in stabilizing coastal areas and providing shelter for marine life. On the other hand, mangrove associates are found further inland, with examples including the golden leather fern and the holy mangrove. These plants exhibit unique adaptations to cope with the challenging conditions of their environment.

The mangrove ecosystem is characterized by loose, anoxic soils that can retain water and create a swamp-like environment. Additionally, the vegetation is often exposed to intense sunlight, leading to several adaptations among the plants. For instance, many mangrove species possess a thick cuticle, which helps reflect sun rays and cut off excess radiation. Some species have evolved specialized salt glands that secrete excess salt, allowing them to maintain osmotic balance in saline conditions. Furthermore, the presence of specialized roots enables these plants to take in atmospheric oxygen, vital for their survival in waterlogged soils.

A remarkable reproductive adaptation seen in some mangrove species is viviparity, where seeds germinate while still attached to the parent plant. This adaptation enhances the survival rate of seedlings in the challenging coastal environment, ensuring that they are well-established before being subjected to the harsher conditions of the intertidal zone.

The mangrove ecosystem in Sri Lanka serves as a unique habitat for a wide variety of species, particularly mollusks and crustaceans. This rich biodiversity is essential for maintaining ecological balance and providing resources for local communities.

Geographically, mangroves can be found in several regions across Sri Lanka, including Puttalam, Batticaloa, Trincomalee, Galle, Bentota, and Negombo. These areas not only contribute to the ecological integrity of the coastal environment but also support the livelihoods of many communities that rely on these ecosystems for fishing and other resources.

In conclusion, the mangrove ecosystem in Sri Lanka is a vital component of the coastal landscape, characterized by its unique adaptations to saline conditions and its importance for biodiversity. Protecting and preserving these ecosystems is crucial for maintaining ecological balance and supporting the livelihoods of local communities.





",Essay
What is DNA replication?,The process which copies a double stranded DNA to produce two identical copies.,Structure
Briefly indicate how Rheumatoid arthritis occurs.,"painful inflammation of the cartilage and bones occur 
as the immune system mistakenly sends antibodies to the lining of the joints and attack",Structure
Name the hormones that released when fatty acids are abundant in the gastric mucus?,"Cholecystokinin 
Secretin ",Structure
Describe the specific characteristics of vectors which are used in host cells,"Vectors are crucial tools in molecular biology, serving as vehicles to transfer genetic material into host cells for various applications, such as cloning, gene expression, and genetic manipulation. These self-replicating units facilitate the incorporation of foreign DNA into the host’s genome. Vectors can take various forms, depending on the host organism and the intended use, each with specific characteristics that enable their function.

Types of Vectors
In prokaryotic systems, such as bacteria, two main types of vectors are commonly used: plasmids and bacteriophages. Plasmids are small, circular pieces of DNA that exist independently of chromosomal DNA, while bacteriophages are viruses that infect bacteria and can be engineered to carry foreign DNA into the bacterial host.

In eukaryotic systems, particularly in yeast, Yeast Artificial Chromosomes (YACs) serve as cloning vectors. YACs are sophisticated vectors that mimic the structure and function of natural chromosomes. They contain essential sequences, including centromeres and autonomously replicating sequences, allowing them to operate like native chromosomes when they are linearized. This means that YACs can replicate independently of the cell division process, providing an efficient means to clone large fragments of DNA.

Functional Characteristics of Vectors
A fundamental characteristic of vectors is their ability to carry genetic sequences that are not essential for their function. During the design of a cloning vector, unnecessary genes are typically removed to create space for the insertion of the DNA of interest. This ensures that the vector can efficiently replicate and express the inserted genetic material without interference from extraneous sequences.

The primary purpose of cloning vectors is to enable the copying of DNA within a living organism, a process known as in vivo replication. However, the transformation of host cells—whereby vectors are introduced into the cells—is often inefficient, particularly in bacterial systems. To address this challenge, using bacteriophages as vectors can be advantageous, as they employ a natural mechanism of infection to deliver DNA into bacterial cells effectively.

Cloning Capacity and Efficiency
YACs, with their capability to carry large amounts of DNA, are especially valuable in eukaryotic systems. They enable researchers to clone extensive sequences of genetic material, which is essential for various applications, including genomic studies and the production of transgenic organisms. The ability of these vectors to operate in eukaryotic systems also enhances their utility in complex genetic manipulations.

When a vector carries foreign DNA, it is referred to as a recombinant vector. The development of recombinant vectors is fundamental to many biotechnological advancements, allowing for the study and manipulation of genes, the production of proteins, and the development of gene therapies.

Conclusion
In summary, vectors used in host cells exhibit specific characteristics that facilitate the transfer and replication of foreign DNA. From plasmids and bacteriophages in bacterial systems to YACs in yeast, these vectors are designed to enhance the efficiency of genetic manipulation and cloning. Their ability to carry non-essential genes, replicate independently, and function in various host organisms makes them indispensable tools in modern molecular biology and genetic engineering. Through the use of cloning vectors, scientists can explore the vast potential of genetic material, paving the way for advancements in research, medicine, and biotechnology.",Essay
Name the micro-organism used abundantly in the production of recombinant vaccine against Hepatitis B.,Yeast/ Saccharomyces,Structure
Briefly describe the chromosomal behaviour in meiosis I,"In meiosis I, the behavior of chromosomes is highly specialized and sets the stage for the reduction of the chromosome number by half, which is critical for sexual reproduction. This process begins with the condensation of chromosomes, making them visible under the microscope as distinct structures. As the chromosomes condense, a key event occurs: the formation of a zipper-like structure known as the synaptonemal complex.

The synaptonemal complex is formed by a specific protein that tightly holds two homologous chromosomes together, aligning them along their entire lengths. This pairing and physical connection of homologous chromosomes is called synapsis. During synapsis, the homologous chromosomes become intimately connected, and this pairing is essential for the subsequent stages of meiosis.

An important event during synapsis is the exchange of genetic material between the non-sister chromatids of paired homologous chromosomes. This process, known as crossing over, involves the breaking, exchanging, and rejoining of corresponding segments of DNA between the chromatids. As a result of crossing over, genetic material is shuffled between homologous chromosomes, increasing genetic diversity in the resulting gametes.

The points where crossing over occurs become visible under a microscope as structures called chiasmata. These chiasmata are the physical manifestations of the crossover events and serve to hold the homologous chromosomes together even after the synaptonemal complex disassembles. After this disassembly, the homologous chromosomes move slightly apart but remain connected at the chiasmata until they are separated in later stages of meiosis I.

In summary, chromosomal behavior in meiosis I involves the condensation of chromosomes, the formation of the synaptonemal complex to facilitate synapsis, the process of crossing over, and the appearance of chiasmata as a result of genetic exchange. These events ensure the proper segregation of homologous chromosomes and the generation of genetic diversity in the resulting gametes.",Essay
Responses to Mechanical Stimuli in Plants,"Nitrogenous Excretion in Animals
Nitrogenous waste products are a byproduct of protein metabolism in animals, and their excretion is crucial for maintaining homeostasis and preventing toxicity. The three primary forms of nitrogenous excretory products found in animals are ammonia, urea, and uric acid. These compounds differ significantly in their toxicity and the energy costs associated with their production, which reflects the adaptations of various species to their habitats and lifestyles.

Ammonia: The Most Toxic Excretory Product
Ammonia is the simplest nitrogenous waste product and is highly toxic to living organisms. As a result, it requires large volumes of water for safe excretion. Many aquatic animals, particularly most bony fishes, most aquatic invertebrates, and tadpoles (amphibian larvae), excrete ammonia directly into their surrounding water. This method is effective for these species, as they live in an environment rich in water, which dilutes the ammonia and allows for its safe elimination without causing harm to their physiology.

Urea: A Compromise for Terrestrial Life
In contrast, terrestrial animals often face challenges related to water availability. Since these animals do not have enough water to excrete ammonia safely, they have adapted to produce urea, which is less toxic than ammonia. Urea requires energy to synthesize from ammonia and carbon dioxide, but its lower toxicity allows for excretion with a smaller volume of water. Mammals and adult amphibians are typical examples of organisms that excrete urea. Additionally, marine sharks and cartilaginous fishes also utilize urea for nitrogen excretion, reflecting an evolutionary adaptation to their specific environmental conditions.

Uric Acid: Energy-Efficient Excretion
Some terrestrial animals, particularly birds, most reptiles, and land snails, have evolved to excrete uric acid, which is the least toxic of the three nitrogenous waste products. Uric acid is relatively non-toxic and water-insoluble, which allows these animals to conserve water. However, the production of uric acid requires more energy compared to urea and ammonia. This adaptation is particularly beneficial for animals that inhabit arid environments, where water conservation is essential for survival.

Conclusion
In summary, the excretion of nitrogenous waste products in animals reflects a diverse range of adaptations to environmental challenges. Ammonia is the preferred excretory product for aquatic organisms due to its high toxicity and the abundance of water available for dilution. In contrast, terrestrial animals utilize urea or uric acid as less toxic alternatives that enable water conservation. Each method of nitrogenous waste excretion represents a strategic balance between toxicity, energy expenditure, and water availability, showcasing the intricate adaptations that have evolved in response to varying ecological niches.",Essay
What is operon?,A group of genes that function as a single transcription unit.,Structure
Name the structure that is found in bony fishes for the control the buoyancy.,Swim bladder,Structure
"Name an ornamental plant which is successfully grown in polytunnels and propagate through layering, grafting and cuttings",roses,Structure
State the monomers of Inulin,fructose,Structure
Give the major functions of angiotensin II?,"Stimulate the secretion of aldestrone
Increase blood pressure by stimulating contractions of arterioles",Structure
Name the hormones which are secreted by human placenta.,"Progesterone, estradiol and inhibin",Structure
What is dominant allele?,"At heterozygote state, the allele which determines the organism’s phenotype by masking the expression of the other",Structure
Explain the homeostasis regulation of body temperature in human.,"Homeostasis Regulation of Body Temperature in Humans

Maintaining a stable internal environment is vital for the proper functioning of biological systems, and one of the key aspects of homeostasis in humans is the regulation of body temperature. The normal body temperature for a human is approximately 37°C (with a typical range between 36.5°C to 37.5°C). This regulation is primarily controlled through a negative feedback mechanism that involves the hypothalamus, a small region in the brain responsible for maintaining various homeostatic processes.

The hypothalamus serves as the body’s temperature control center, responding to fluctuations in body temperature by activating either heat loss or heat gain mechanisms. When the body experiences an increase in temperature due to external factors, such as hot surroundings, the hypothalamus detects this change through signals from warm receptors located in the skin. Additionally, temperature-sensitive nerve endings within the hypothalamus itself monitor the internal body temperature.

Once the hypothalamus detects an increase in body temperature above the set point, it sends out nerve impulses to initiate heat loss mechanisms while inhibiting heat gain processes. This response involves vasodilation, where the blood vessels in the skin expand, allowing warm blood to fill the capillaries near the skin surface. As a result, heat radiates from the skin, promoting cooling. Furthermore, the hypothalamus stimulates the sweat glands to increase secretion, facilitating evaporative cooling. The evaporation of sweat from the skin surface helps dissipate heat, ultimately lowering the body temperature back to the normal range.

Once the body temperature returns to the desired level, the warm temperature-sensitive receptors are no longer activated. Consequently, they send signals to the hypothalamic thermostat to cease further heat loss mechanisms. The blood flow to the periphery returns to normal, stabilizing the body’s temperature regulation process.

Conversely, when a person is exposed to cold surroundings, a different set of responses is initiated. Cold receptors in the skin detect low peripheral temperatures, and deep body temperatures are monitored by temperature-sensitive nerve endings in the hypothalamus. The hypothalamus responds to this drop in temperature by activating heat gain mechanisms and inhibiting heat loss processes.

To counteract the cold, the hypothalamus sends impulses to constrict the blood vessels in the skin, diverting blood away from the surface and reducing heat loss through the skin. This process helps to preserve body heat by directing blood flow to deeper tissues. Additionally, the body may initiate shivering, which involves rapid, repetitive contractions of skeletal muscles that generate heat. The contraction of hair erector muscles also contributes to slight heat production.

As the body temperature increases and returns to the normal range, the cold temperature-sensitive receptors become inactive, sending fewer signals to the hypothalamus. This cessation of stimulation leads to the stopping of heat-generating mechanisms, and blood flow to the peripheries returns to its normal state.

In summary, the regulation of body temperature in humans is a complex and finely-tuned process involving the hypothalamus and various physiological mechanisms. Through the detection of changes in both external and internal temperatures, the body can effectively manage heat loss and heat gain, ensuring that body temperature remains within the narrow range necessary for optimal function. This homeostatic regulation highlights the remarkable adaptability of the human body to varying environmental conditions.",Essay
"Name the animal phylum that possesses a heartless, closed circulatory system and bilaterally symmetrical larval forms.",Platyhelminthes,Structure
what are the products of ethyl alcohol fermentation?,"Ethyl alcohol / ethanol  
CO2
 ATP",Structure
Write one function of the Plasma cells,Producing antibodies and secreting them.,Structure
Name a hormone secreted only by the human placenta.,Human placental lactogen/ hCG (Human chorionic gonadotrophin),Structure
How megaphylls differs from microphylls?,Large (in size)  with branched veins,Structure
Briefly describe what a zygosporangium is.,"A sturdy structure 
Multinucleated 
 Produced by plasmogamy/ fusion of cytoplasms of two parent cells/gametangia
 and Karyogamy/ fusion of nuclei
 during sexual reproduction
 of zygomycotes.
 Resistant to unfavorable environment/ conditions/ drying/ freezing
 Metabolically inactive (in adverse environmental conditions)
 Produces haploid spores",Structure
Give the types of immune responses of the adaptive immunity and indicate the cell type involved for each. Type of immune response cell type,"Cell-mediated immune response: This response involves T lymphocytes (T cells), which are responsible for directly attacking infected or abnormal cells and coordinating other aspects of the immune response.
Humoral immune response: This response is carried out by B lymphocytes (B cells), which produce antibodies that neutralize pathogens or mark them for destruction by other immune cells.",Structure
Indicate the response showed by plants for Salt tolerant:,develop slat glands/ producing solutes that are well tolerated at high concentrations.,Structure
State the three main functions of the human nervous system.,"Co-ordination 
Integration 
Homeostasis",Structure
Which plant phylum first colonized to land?,phylum Hepatophyta,Structure
Name the respiratory structure of the Scorpion,Book lung,Structure
write a short notes Invasive alien species,"Invasive alien species refer to plants or animals that have been introduced to areas outside their natural geographic range and pose a significant threat to native biodiversity. These species often capitalize on human disturbances in the environment, allowing them to establish and spread in new habitats. Their ability to thrive in various environmental conditions and their high reproductive output contribute to their successful expansion.

While only a small percentage of alien species become invasive, their impact on ecosystems can be profound. Once established, these invasive species can damage biodiversity by outcompeting native species for resources such as food and habitat. They can also alter the ecological dynamics and services of the ecosystems into which they are introduced. For instance, invasive species may change nutrient cycling, disrupt food webs, and impact the overall health of ecosystems, leading to significant environmental degradation.

The consequences of invasive alien species are far-reaching, making them one of the major causes of biodiversity depletion. Notable examples of invasive species include the Giant African land snail, Lantana, water hyacinth, Geni grass, and Salvinia. Each of these species exemplifies the challenges posed by invasive organisms, as they disrupt local ecosystems and threaten native flora and fauna.

In summary, the introduction and spread of invasive alien species represent a critical issue for conservation and environmental management. Their ability to exploit disturbed environments, coupled with their reproductive advantages, allows them to proliferate rapidly and effectively. Addressing the threats posed by invasive species requires coordinated efforts in monitoring, prevention, and management to protect native biodiversity and preserve ecosystem integrity.",Essay
What is a stomata?,Stomata are pores surrounded by guard cells in the epidermis of the leaves and stems of plants which can open and close,Structure
What is the feature that the Theodore Schwann mentioned regarding cell theory?,Animal tissues are made up of cells,Structure
Deficiency of which vitamin shows the tingling of hands in human?,Digestible carbohydrates,Structure
Indicate two functions of cholesterol molecule that found in the plasma membrane.,"Provide rigidity and stability (to the membrane)
maintain fluidity to plasma membrane ",Structure
"Indicate one major characteristic to distinguish a meristematic cell from a sclerenchyma cell, other than structural characteristics.",living cells,Structure
State five important environmental services provided by biodiversity.,"CO2 fixation/ photosynthesis 
Maintaining nutrient cycles/ N2 cycle/ P cycle  
Maintaining water cycle/ recycling moisture in atmosphere/ recharging groundwater 
Soil formation 
Preventing soil erosion/ Protection of soil from erosion  
Regulating climate 
Water purification 
Pollination",Structure
"Write a important of ""X"" in this tissue.",in secondary walls,Structure
"In which bone, condyloid process of the mandible articulates?",temporal bone,Structure
Briefly explain what is mucus escalator and indicate its significance.,"Mucus helps trap the dust and other particulate contaminants in the inhaled air 
beating of cilia moves this upward towards pharynx 
where it is swallowed into the oesophagus. 
Significance - helps clean the respiratory system. ",Structure
Explain the T.S of dicot stem structure,"Transverse Section of a Dicot Stem Structure
The transverse section (T.S.) of a dicot stem reveals a complex organization of tissues, each playing a critical role in the plant's overall function and structure. Understanding the structure of the dicot stem is essential for appreciating how plants grow and adapt to their environments.

At the outermost layer of the stem is the epidermis, which serves as a protective barrier. This epidermal layer is single-layered and comprises rectangular or barrel-shaped cells. The epidermis plays a vital role in minimizing water loss and protecting the underlying tissues from external factors. Stomata—small openings that facilitate gas exchange—are present on the epidermis, allowing for the exchange of oxygen and carbon dioxide necessary for photosynthesis.

Located just beneath the epidermis is the cuticle, a waxy layer that provides additional protection against desiccation and environmental stress. The cortex, situated inner to the epidermis, consists of various types of cells. At the periphery of the cortex, collenchyma cells are present, providing structural support while allowing flexibility. These collenchyma cells are characterized by their chloroplasts, which enable them to participate in photosynthesis. Interior to the collenchyma are parenchyma cells, which serve as storage tissues and play roles in various metabolic processes.

Further inward, the stem contains a ring of vascular bundles, which are crucial for the transport of water, nutrients, and sugars throughout the plant. This annular arrangement of vascular bundles is notable for its organization: primary phloem is located at the periphery of each vascular bundle, while the primary xylem is situated inward. Between the xylem and phloem is the intrafascicular cambium, a layer of meristematic tissue that enables secondary growth, making this an open vascular bundle. The presence of both xylem and phloem in a single vascular bundle classifies it as a collateral vascular bundle.

Notably, the xylem within the vascular bundles is described as endarch, meaning that the xylem develops inwardly, which is essential for the efficient transport of water and nutrients from the roots to the rest of the plant.

At the center of the dicot stem lies the pith, which consists of loosely arranged parenchyma cells that serve primarily for storage and support. Additionally, primary medullary rays are present in between the vascular bundles, facilitating the lateral movement of nutrients and water within the stem.

In conclusion, the transverse section of a dicot stem displays a well-organized structure composed of various tissues, each with specific functions. The epidermis, cortex, vascular bundles, and pith all work together to support the plant's growth, facilitate transport, and protect against environmental stressors. Understanding these components is crucial for comprehending the complexities of plant biology and the adaptations that allow dicots to thrive in diverse environments.",Essay
Which components are found in the reaction centre complex of photosystems?,Proteins holding a pair of chlorophyll a molecule e Primary electron acceptor,Structure
